tid,election,violence,date

663008372103454721,no,no,unknown

668598478579359745,yes,no,unknown

667498832335380480,no,no,unknown

681374781334269952,yes,no,unknown

672786051061125121,no,no,unknown

674688674337054721,yes,no,unknown

667140167505805313,yes,no,unknown

671740153682112515,no,no,unknown

684199109616603137,yes,no,unknown

676884772254281728,no,no,unknown

667862759447633920,no,no,unknown

673427627147948032,yes,no,unknown

671812093608357889,yes,no,unknown

667717297608507392,yes,no,unknown

675798290529554433,no,no,unknown

671852419836416001,yes,no,unknown

664491780990193664,no,no,unknown

663371953810620416,no,no,unknown

684234978125844480,no,no,unknown

665231999385387009,no,no,unknown

684867000594776064,no,no,unknown

665946571897483264,yes,no,unknown

682409958764343296,no,no,unknown

662365365586952192,yes,no,unknown

669621633146048513,no,no,unknown

672574077412995074,yes,violence,2015-12-03

667024613860319232,no,no,unknown

684460733657149440,no,no,unknown

665572938838622208,yes,no,unknown

684113109754232832,no,no,unknown

682031299280912384,yes,no,unknown

669845401932034048,yes,no,unknown

675395299733594112,no,no,unknown

669137994419425281,no,no,unknown

675520123436969984,no,no,unknown

667161876132986880,no,no,unknown

669151625576095744,yes,no,unknown

664400441887862784,yes,no,unknown

665358192071737344,no,no,unknown

667080498527776778,no,no,unknown

672973216344879104,yes,no,unknown

666281572304318465,yes,no,unknown

664564440898105344,no,no,unknown

686318917472661505,no,no,unknown

675514795513237504,no,no,unknown

685231042836447236,no,no,unknown

673891428871880705,yes,no,unknown

667337046827102208,yes,no,unknown

670369701604794368,yes,no,unknown

668858479361306624,no,no,unknown

673198917174099968,no,no,unknown

682925144516476928,no,no,unknown

664612771737243648,yes,no,unknown

669923584698003456,yes,violence,2015-11-26

666256730129620994,yes,no,unknown

663524305771319296,yes,no,unknown

666806798058446848,no,no,unknown

676103869164863489,no,no,unknown

672496003405258752,yes,no,unknown

668599229221310465,no,no,unknown

674896591719948289,yes,no,unknown

681643590846705665,no,no,unknown

670375736566521856,no,no,unknown

668590268795392002,yes,no,unknown

