Country,kernel,C,class_weight,gamma,Tuning F1,OOS F1
Venezuela,rbf,1.0,balanced,0.1,0.538,0.465
Venezuela,rbf,403.429,balanced,0.0001,0.541,0.446
Venezuela,rbf,1.0,balanced,0.1,0.558,0.5
Venezuela,rbf,148.413,balanced,auto,0.499,0.531
Venezuela,sigmoid,54.598,balanced,0.001,0.527,0.547
Ghana,rbf,20.086,balanced,0.01,0.674,0.727
Ghana,rbf,2980.958,balanced,0.0001,0.666,0.597
Ghana,sigmoid,2.718,balanced,0.1,0.657,0.595
Ghana,rbf,148.413,balanced,0.001,0.671,0.561
Ghana,sigmoid,20.086,balanced,0.01,0.684,0.64
Philippines,rbf,2980.958,balanced,0.0001,0.521,0.561
Philippines,rbf,148.413,,0.01,0.551,0.424
Philippines,sigmoid,2980.958,,0.001,0.569,0.488
Philippines,rbf,20.086,balanced,0.01,0.547,0.542
Philippines,rbf,20.086,balanced,0.1,0.55,0.512
