,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,
Ghana_CNN_Manuscript,0.9476377952755906,0.010285315336703238,0.5951398951398952,0.0967512050172089,0.5375,0.11981430945425509,0.5606413800198264,0.10052415316978178
Ghana_CNN_cnn_train.py,0.9468503937007874,0.01156234264219557,0.5869798831089154,0.1037603741936435,0.6,0.026145625829189872,0.5905794177164847,0.0606638553952862
Ghana_CNN_rep_settings.py,0.9488188976377951,0.011892761785034017,0.6030950874973645,0.11162537691325096,0.59375,0.05846339666834283,0.5963243778880739,0.07808698897707744
Philippines_CNN_Manuscript,0.9522633744855966,0.012033079438035733,0.525462962962963,0.18817038363797756,0.4434782608695652,0.12064727761314438,0.46880399033590525,0.11047359701911666
Philippines_CNN_cnn_train.py,0.9497942386831276,0.012566610275392947,0.48783911513323275,0.13652429293713383,0.4695652173913043,0.07144207271806514,0.4746006960923904,0.09338404831766094
Philippines_CNN_rep_settings.py,0.9460905349794239,0.011855852091265788,0.4462026862026862,0.11168665592714067,0.43478260869565216,0.053249777017025636,0.43753395639039094,0.07684508271536639
Venezuela_CNN_Manuscript,0.9427901524032825,0.004009995633408484,0.46829629629629627,0.06901004055646218,0.2680851063829787,0.048982401843495046,0.33950215432824127,0.05153875404513465
Venezuela_CNN_cnn_train.py,0.9371629542790153,0.007802842341052195,0.4299092135244771,0.05505067515074866,0.3829787234042553,0.0498980399981216,0.4018250358056183,0.03872550936324372
Venezuela_CNN_rep_settings.py,0.928253223915592,0.006057683790276109,0.36828013256584685,0.02141023152382368,0.4127659574468085,0.09934142578662769,0.38391573143498314,0.04049671853193999
