,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,
Ghana_CNN_Manuscript,0.944488188976378,0.007286124221780208,0.5707996894409938,0.07796662750518973,0.525,0.09217425752345391,0.5417015523984356,0.06366679992073526
Ghana_CNN_cnn_train.py,0.9476377952755906,0.008305127208554718,0.595282386458857,0.0862575755442747,0.575,0.027950849718747377,0.5822958501715334,0.04271495846237661
Ghana_CNN_rep_settings.py,0.9480314960629921,0.01169563053347473,0.5996868296868296,0.11083250949780053,0.55625,0.08088861940965492,0.5753135078168953,0.08825827301824538
Philippines_CNN_Manuscript,0.9465020576131687,0.013255245603626654,0.4575340397276822,0.11032345024269438,0.42608695652173917,0.14871853370858323,0.4260274684664928,0.08485137434328906
Philippines_CNN_cnn_train.py,0.948559670781893,0.013648661688705398,0.4859627922853729,0.16031046386269873,0.5043478260869565,0.10009447333235948,0.48594415778007105,0.10073349991487164
Philippines_CNN_rep_settings.py,0.9502057613168724,0.016930043152859422,0.5084064737005913,0.20818363942147686,0.4,0.07777627747825355,0.4430584538026398,0.129056030876083
Venezuela_CNN_Manuscript,0.94021101992966,0.008654644232258753,0.46064588979223126,0.11619718049073433,0.28510638297872337,0.07152228218711323,0.34283085145154113,0.05732917939795957
Venezuela_CNN_cnn_train.py,0.9369284876905042,0.005069577563995273,0.40612108788826884,0.0477175854644618,0.3148936170212766,0.08951354879984098,0.3504727670326433,0.06810680153782382
Venezuela_CNN_rep_settings.py,0.9341148886283704,0.008943601933299293,0.4046581465146425,0.06850796291018994,0.3659574468085106,0.06453511016214086,0.3791589291031645,0.042855830305396296
